"","name","longitude","latitude","prov","date","key"
"1","Asclepias subulata Decne.",-116.335503,33.832328,"gbif",2021-01-05,"3017946062"
"2","Asclepias subulata Decne.",-116.335512,33.832345,"gbif",2021-01-05,"3018003210"
"3","Asclepias subulata Decne.",-116.335503,33.832367,"gbif",2021-01-05,"3018146123"
"4","Asclepias subulata Decne.",-115.922933,33.584081,"gbif",2021-01-01,"3018147775"
"5","Asclepias subulata Decne.",-116.196804,33.302156,"gbif",2021-01-13,"3031734793"
"6","Asclepias subulata Decne.",-116.232513,32.940022,"gbif",2021-01-12,"3031749723"
"7","Asclepias subulata Decne.",-116.332157,33.155804,"gbif",2021-01-13,"3031767752"
"8","Asclepias subulata Decne.",-116.332817,33.839572,"gbif",2021-01-17,"3031804919"
"9","Asclepias subulata Decne.",-115.394125,34.856636,"gbif",2021-01-07,"3031881175"
"10","Asclepias subulata Decne.",-115.390678,34.17628,"gbif",2021-01-17,"3031922481"
"11","Asclepias subulata Decne.",-114.790954,32.743659,"gbif",2021-01-24,"3031992803"
"12","Asclepias subulata Decne.",-114.853969,36.000584,"gbif",2021-01-15,"3032015916"
"13","Asclepias subulata Decne.",-112.070509,33.422378,"gbif",2021-01-23,"3032076623"
"14","Asclepias subulata Decne.",-116.324664,33.851789,"gbif",2021-01-17,"3032104899"
"15","Asclepias subulata Decne.",-116.332582,33.835757,"gbif",2021-01-17,"3032126847"
"16","Asclepias subulata Decne.",-116.166028,33.291687,"gbif",2021-01-11,"3032144703"
"17","Asclepias subulata Decne.",-116.105798,32.797996,"gbif",2021-01-31,"3039394115"
"18","Asclepias subulata Decne.",-116.49363,33.984403,"gbif",2021-01-27,"3039435367"
"19","Asclepias subulata Decne.",-114.523263,36.485639,"gbif",2021-01-21,"3059044722"
"20","Asclepias subulata Decne.",-114.521987,36.482599,"gbif",2021-01-21,"3059105977"
"21","Asclepias subulata Decne.",-113.699833,28.968342,"gbif",2021-01-18,"3070455323"
"22","Asclepias subulata Decne.",-113.785531,28.961603,"gbif",2021-01-18,"3070504304"
"23","Asclepias subulata Decne.",-116.496811,33.987361,"gbif",2021-01-27,"3097177474"
"24","Asclepias subulata Decne.",-116.45075,33.953979,"gbif",2021-02-05,"3039223551"
"25","Asclepias subulata Decne.",-114.849517,35.176062,"gbif",2021-02-07,"3039230123"
"26","Asclepias subulata Decne.",-116.444458,33.972233,"gbif",2021-02-05,"3039424513"
"27","Asclepias subulata Decne.",-116.125519,32.710657,"gbif",2021-02-07,"3039443905"
"28","Asclepias subulata Decne.",-114.1156,33.637183,"gbif",2021-02-11,"3039500123"
"29","Asclepias subulata Decne.",-112.033256,33.710704,"gbif",2021-02-11,"3039504076"
"30","Asclepias subulata Decne.",-116.326681,33.824778,"gbif",2021-02-14,"3044669494"
"31","Asclepias subulata Decne.",-114.608862,35.1504,"gbif",2021-02-17,"3044726898"
"32","Asclepias subulata Decne.",-116.444747,32.996473,"gbif",2021-02-23,"3044844246"
"33","Asclepias subulata Decne.",-116.593396,31.877349,"gbif",2021-02-21,"3044880893"
"34","Asclepias subulata Decne.",-112.037177,33.709474,"gbif",2021-02-11,"3058684717"
"35","Asclepias subulata Decne.",-112.033147,33.710574,"gbif",2021-02-11,"3058694733"
"36","Asclepias subulata Decne.",-112.03868,33.710946,"gbif",2021-02-11,"3058700754"
"37","Asclepias subulata Decne.",-112.033251,33.710573,"gbif",2021-02-11,"3058703711"
"38","Asclepias subulata Decne.",-112.032862,33.710571,"gbif",2021-02-11,"3058706695"
"39","Asclepias subulata Decne.",-112.036991,33.70928,"gbif",2021-02-11,"3058708790"
"40","Asclepias subulata Decne.",-112.033282,33.710786,"gbif",2021-02-11,"3058718810"
"41","Asclepias subulata Decne.",-112.035766,33.709318,"gbif",2021-02-11,"3058720733"
"42","Asclepias subulata Decne.",-112.032751,33.710384,"gbif",2021-02-11,"3058734801"
"43","Asclepias subulata Decne.",-111.901588,33.402503,"gbif",2021-02-08,"3058740812"
"44","Asclepias subulata Decne.",-112.038493,33.710893,"gbif",2021-02-11,"3058751675"
"45","Asclepias subulata Decne.",-111.901672,33.402478,"gbif",2021-02-08,"3058752819"
"46","Asclepias subulata Decne.",-112.032752,33.710375,"gbif",2021-02-11,"3058758781"
"47","Asclepias subulata Decne.",-111.956213,33.43327,"gbif",2021-02-11,"3058759730"
"48","Asclepias subulata Decne.",-112.033392,33.710626,"gbif",2021-02-11,"3058772681"
"49","Asclepias subulata Decne.",-112.039114,33.710845,"gbif",2021-02-11,"3058773768"
"50","Asclepias subulata Decne.",-112.039458,33.710946,"gbif",2021-02-11,"3058779754"
"51","Asclepias subulata Decne.",-112.035528,33.708798,"gbif",2021-02-11,"3058798773"
"52","Asclepias subulata Decne.",-112.032683,33.710386,"gbif",2021-02-11,"3058807751"
"53","Asclepias subulata Decne.",-112.033097,33.710557,"gbif",2021-02-11,"3058809799"
"54","Asclepias subulata Decne.",-112.032634,33.710296,"gbif",2021-02-11,"3058809800"
"55","Asclepias subulata Decne.",-112.038335,33.710835,"gbif",2021-02-11,"3058812698"
"56","Asclepias subulata Decne.",-112.03371,33.71075,"gbif",2021-02-11,"3058812699"
"57","Asclepias subulata Decne.",-112.033267,33.710907,"gbif",2021-02-11,"3058812700"
"58","Asclepias subulata Decne.",-112.03325,33.710897,"gbif",2021-02-11,"3058824680"
"59","Asclepias subulata Decne.",-112.038421,33.710826,"gbif",2021-02-11,"3058825718"
"60","Asclepias subulata Decne.",-112.032859,33.710526,"gbif",2021-02-11,"3058882787"
"61","Asclepias subulata Decne.",-112.039566,33.710947,"gbif",2021-02-11,"3058896745"
"62","Asclepias subulata Decne.",-112.032625,33.710372,"gbif",2021-02-11,"3058904676"
"63","Asclepias subulata Decne.",-112.033348,33.710685,"gbif",2021-02-11,"3058914668"
"64","Asclepias subulata Decne.",-112.033528,33.710356,"gbif",2021-02-11,"3058918654"
"65","Asclepias subulata Decne.",-112.033734,33.710735,"gbif",2021-02-11,"3058932746"
"66","Asclepias subulata Decne.",-112.032654,33.71032,"gbif",2021-02-11,"3058932747"
"67","Asclepias subulata Decne.",-112.033701,33.710755,"gbif",2021-02-11,"3058950651"
"68","Asclepias subulata Decne.",-112.0328,33.710501,"gbif",2021-02-11,"3058953741"
"69","Asclepias subulata Decne.",-112.038411,33.710823,"gbif",2021-02-11,"3058955756"
"70","Asclepias subulata Decne.",-112.039176,33.710928,"gbif",2021-02-11,"3058964724"
"71","Asclepias subulata Decne.",-112.033782,33.710726,"gbif",2021-02-11,"3058980696"
"72","Asclepias subulata Decne.",-112.033321,33.710596,"gbif",2021-02-11,"3059010709"
"73","Asclepias subulata Decne.",-112.033305,33.710593,"gbif",2021-02-11,"3059023707"
"74","Asclepias subulata Decne.",-116.091818,32.74427,"gbif",2021-02-27,"3067737779"
"75","Asclepias subulata Decne.",-116.091818,32.744271,"gbif",2021-02-27,"3067890896"
"76","Asclepias subulata Decne.",-116.335965,33.833074,"gbif",2021-02-20,"3067997488"
"77","Asclepias subulata Decne.",-114.796751,33.863636,"gbif",2021-02-07,"3079491147"
"78","Asclepias subulata Decne.",-114.705327,33.839859,"gbif",2021-02-06,"3079670163"
"79","Asclepias subulata Decne.",-116.532333,33.729815,"gbif",2021-03-09,"3058848775"
"80","Asclepias subulata Decne.",-115.826755,33.650844,"gbif",2021-03-07,"3058974020"
"81","Asclepias subulata Decne.",-115.250157,33.888124,"gbif",2021-03-03,"3059038688"
"82","Asclepias subulata Decne.",-115.821296,33.651628,"gbif",2021-03-07,"3059102655"
"83","Asclepias subulata Decne.",-112.161978,30.728758,"gbif",2021-03-11,"3059133665"
"84","Asclepias subulata Decne.",-116.302439,33.825015,"gbif",2021-03-17,"3061533164"
"85","Asclepias subulata Decne.",-116.303745,33.822496,"gbif",2021-03-17,"3061582086"
"86","Asclepias subulata Decne.",-115.386956,33.212483,"gbif",2021-03-13,"3061587233"
"87","Asclepias subulata Decne.",-110.951133,29.147536,"gbif",2021-03-15,"3061613216"
"88","Asclepias subulata Decne.",-114.460305,36.037063,"gbif",2021-03-14,"3061655351"
"89","Asclepias subulata Decne.",-110.951133,29.147536,"gbif",2021-03-15,"3061736810"
"90","Asclepias subulata Decne.",-116.30378,33.822557,"gbif",2021-03-17,"3061751501"
"91","Asclepias subulata Decne.",-114.049706,28.603256,"gbif",2021-03-14,"3061824568"
"92","Asclepias subulata Decne.",-111.478607,33.456912,"gbif",2021-03-20,"3067892639"
"93","Asclepias subulata Decne.",-116.48123,33.760962,"gbif",2021-03-24,"3067977870"
"94","Asclepias subulata Decne.",-113.9896,28.397092,"gbif",2021-03-14,"3070403628"
"95","Asclepias subulata Decne.",-114.857064,36.106231,"gbif",2021-03-27,"3070417827"
"96","Asclepias subulata Decne.",-113.990056,28.393211,"gbif",2021-03-14,"3070631644"
"97","Asclepias subulata Decne.",-114.037756,28.524834,"gbif",2021-03-14,"3070721530"
"98","Asclepias subulata Decne.",-115.820455,33.653014,"gbif",2021-03-27,"3109026963"
"99","Asclepias subulata Decne.",-114.73522,35.763849,"gbif",2021-03-21,"3302387505"
"100","Asclepias subulata Decne.",-114.747375,29.76677,"gbif",2021-04-01,"3090690974"
"101","Asclepias subulata Decne.",-111.660191,33.545648,"gbif",2021-04-11,"3090715589"
"102","Asclepias subulata Decne.",-116.280638,33.074781,"gbif",2021-04-13,"3090951917"
"103","Asclepias subulata Decne.",-116.326042,33.823387,"gbif",2021-04-17,"3097071041"
"104","Asclepias subulata Decne.",-115.104462,32.849407,"gbif",2021-04-07,"3097137497"
"105","Asclepias subulata Decne.",-115.104461,32.849408,"gbif",2021-04-07,"3097164813"
"106","Asclepias subulata Decne.",-116.236245,33.184862,"gbif",2021-04-20,"3097390489"
"107","Asclepias subulata Decne.",-115.104172,32.850327,"gbif",2021-04-07,"3097414514"
"108","Asclepias subulata Decne.",-111.925732,33.763839,"gbif",2021-04-27,"3109003286"
"109","Asclepias subulata Decne.",-111.925725,33.76664,"gbif",2021-04-27,"3109033293"
"110","Asclepias subulata Decne.",-111.925693,33.763798,"gbif",2021-04-27,"3109139333"
"111","Asclepias subulata Decne.",-111.925719,33.76747,"gbif",2021-04-27,"3109150283"
"112","Asclepias subulata Decne.",-111.925726,33.766923,"gbif",2021-04-27,"3109237319"
"113","Asclepias subulata Decne.",-116.435622,33.779,"gbif",2021-04-30,"3112340852"
"114","Asclepias subulata Decne.",-116.420837,34.075597,"gbif",2021-04-30,"3112360950"
"115","Asclepias subulata Decne.",-111.935381,33.314691,"gbif",2021-04-30,"3112370831"
"116","Asclepias subulata Decne.",-114.59572,35.232453,"gbif",2021-04-21,"3112387472"
"117","Asclepias subulata Decne.",-111.84125,33.306137,"gbif",2021-04-30,"3112572701"
"118","Asclepias subulata Decne.",-114.832878,32.021457,"gbif",2021-04-19,"3112914376"
"119","Asclepias subulata Decne.",-111.906708,33.522458,"gbif",2021-04-30,"3113313499"
"120","Asclepias subulata Decne.",-114.664695,34.527088,"gbif",2021-04-30,"3124831490"
"121","Asclepias subulata Decne.",-112.103051,33.532526,"gbif",2021-05-01,"3112280072"
"122","Asclepias subulata Decne.",-111.931211,33.443033,"gbif",2021-05-01,"3112357077"
"123","Asclepias subulata Decne.",-116.308219,33.853414,"gbif",2021-05-02,"3112402571"
"124","Asclepias subulata Decne.",-116.199456,31.246217,"gbif",2021-05-01,"3112448379"
"125","Asclepias subulata Decne.",-112.010108,33.571622,"gbif",2021-05-03,"3112491660"
"126","Asclepias subulata Decne.",-116.551087,31.898965,"gbif",2021-05-03,"3112505946"
"127","Asclepias subulata Decne.",-116.199456,31.2471,"gbif",2021-05-01,"3112630398"
"128","Asclepias subulata Decne.",-116.544764,31.847565,"gbif",2021-05-02,"3112633818"
"129","Asclepias subulata Decne.",-116.388603,33.256039,"gbif",2021-05-05,"3112640607"
"130","Asclepias subulata Decne.",-116.546323,31.845676,"gbif",2021-05-02,"3112673877"
"131","Asclepias subulata Decne.",-111.908349,33.522342,"gbif",2021-05-01,"3112692215"
"132","Asclepias subulata Decne.",-111.54683,33.177294,"gbif",2021-05-02,"3112750794"
"133","Asclepias subulata Decne.",-110.700942,28.584368,"gbif",2021-05-02,"3112751699"
"134","Asclepias subulata Decne.",-111.904062,33.403597,"gbif",2021-05-02,"3112753800"
"135","Asclepias subulata Decne.",-116.407897,31.523764,"gbif",2021-05-03,"3112783434"
"136","Asclepias subulata Decne.",-116.546144,31.847324,"gbif",2021-05-02,"3112806518"
"137","Asclepias subulata Decne.",-116.325892,33.823394,"gbif",2021-05-02,"3112815514"
"138","Asclepias subulata Decne.",-116.407942,31.523758,"gbif",2021-05-03,"3112867720"
"139","Asclepias subulata Decne.",-112.050811,33.496613,"gbif",2021-05-02,"3112905553"
"140","Asclepias subulata Decne.",-110.979572,31.908363,"gbif",2021-05-01,"3112913877"
"141","Asclepias subulata Decne.",-116.199876,31.246568,"gbif",2021-05-01,"3113286764"
"142","Asclepias subulata Decne.",-111.855758,33.576442,"gbif",2021-05-02,"3113316563"
"143","Asclepias subulata Decne.",-116.545,31.845993,"gbif",2021-05-02,"3113334222"
"144","Asclepias subulata Decne.",-116.198957,31.245908,"gbif",2021-05-01,"3113360749"
"145","Asclepias subulata Decne.",-112.49801,33.56675,"gbif",2021-05-02,"3113411538"
"146","Asclepias subulata Decne.",-112.023609,33.371079,"gbif",2021-05-02,"3113432538"
"147","Asclepias subulata Decne.",-116.72313,32.50593,"gbif",2021-05-06,"3113447071"
"148","Asclepias subulata Decne.",-112.497984,33.566737,"gbif",2021-05-02,"3113448526"
